timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753343781718,33,Grow-35,200,OK,Thread Group 1-1,text,true,,56810,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/33585-9b1e7fc584dca694.js,31,0,0
1753343781751,37,Grow-36,200,OK,Thread Group 1-1,text,true,,91794,239,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/mutual-funds/%5BsearchId%5D-3c9efdd2bc3ecc37.js,25,0,0
1753343781788,28,Grow-37,200,OK,Thread Group 1-1,text,true,,78276,218,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_buildManifest.js,25,0,0
1753343781817,21,Grow-38,200,OK,Thread Group 1-1,text,true,,1434,216,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_ssgManifest.js,21,0,0
1753343781838,21,Grow-39,200,OK,Thread Group 1-1,bin,true,,8710,161,3,3,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png,21,0,0
1753343781859,7,Grow-40,200,OK,Thread Group 1-1,text,true,,1669,172,3,3,https://groww.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,7,0,0
1753343779478,4118,Grow,200,OK,Thread Group 1-3,text,true,,3738899,8458,2,2,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth,519,0,188
1753343779478,553,Grow-0,200,OK,Thread Group 1-3,text,true,,423769,165,2,2,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth,519,0,188
1753343780038,17,Grow-1,200,OK,Thread Group 1-3,bin,true,,5296,132,2,2,https://groww.in/favicon32x32-groww.ico,17,0,0
1753343780055,58,Grow-2,200,OK,Thread Group 1-3,text,true,,109713,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/161459f0e2a48641.css,49,0,31
1753343780273,24,Grow-3,200,OK,Thread Group 1-3,text,true,,21394,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/4bb1f5903c32e712.css,22,0,0
1753343780309,24,Grow-4,200,OK,Thread Group 1-3,text,true,,23101,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/79ec7c0309b27470.css,22,0,0
1753343780357,22,Grow-5,200,OK,Thread Group 1-3,text,true,,25908,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/f51edef650114752.css,21,0,0
1753343780393,25,Grow-6,200,OK,Thread Group 1-3,text,true,,92824,215,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js,20,0,0
1753343780418,35,Grow-7,200,OK,Thread Group 1-3,text,true,,24087,213,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/webpack-e650e1e9574383e0.js,35,0,0
